bus_name,bus_rating,seat_type,departure_time,pick_up_point,arrival_date,arrival_time,drop_of_point,duration,original_price,sale_price,percent_discount,departure_date,start_point,destination,An toàn,Thông tin chính xác,Thông tin đầy đủ,Thái độ nhân viên,Tiện nghi & thoải mái,Chất lượng dịch vụ,Đúng giờ
36 Limousine,4.8 (502),Limousine 11 chỗ,09:00,• Văn phòng Đồng Tàu,,11:30,• Văn phòng Thanh Hóa,2h30m,230.0,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.8,4.8,4.8,4.7,4.7,4.7,4.7
Vân Anh Limousine,4.8 (32),Limousine Giường phòng 24 chỗ,13:00,• Bến xe Nước Ngầm,,16:00,• Bến xe Thọ Xuân,3h,230.0,200.0,-13%,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.9,4.9,4.9,4.9,4.9,4.9,5.0
Thành Trung Limousine,4 (113),Limousine 9 chỗ,07:00,• Văn phòng Hà Nội,,09:00,• Văn Phòng Thanh Hóa,2h,230.0,210.0,-9%,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.4,3.9,4.0,4.3,4.3,3.9,4.3
Vĩnh Quang,4.8 (25),Limousine 10 chỗ,11:25,• VP Linh Đàm,,13:55,• VP Thanh Hóa - 143 Lê Hồng Phong,2h30m,170.0,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,5.0,4.8,4.9,4.9,4.9,4.9,4.8
Thơm Phụng,4.6 (18),Giường nằm 46 chỗ,15:30,• Bến xe Nước Ngầm,,17:45,• Big C Thanh Hóa,2h15m,150.0,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.9,4.6,4.8,4.8,4.6,4.5,5.0
Đức Phát (Thanh Hóa),4.7 (87),Limousine 11 chỗ,13:00,• Văn Phòng Hà Nội,,15:30,• Bến xe phía Tây Thanh Hóa,2h30m,210.0,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.8,4.7,4.7,4.6,4.7,4.6,4.8
Bình Hoài Limousine,4 (297),Limousine 10 chỗ,15:00,• Văn phòng Hoàng Mai,,17:50,• Tượng đài Lê Lợi,2h50m,230.0,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.2,4.0,4.1,4.3,4.1,4.0,4.6
An Phát (Thanh Hóa),4 (23),Ghế ngồi 7 chỗ,10:00,• Văn Phòng Hà Nội,,13:00,• VP Thanh Hóa,3h,250.0,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.2,3.9,3.9,4.1,3.9,3.8,5.0
FUTA HÀ SƠN,4.8 (318),Limousine 34 chỗ,17:30,"• Bến xe Giáp Bát, Hà Nội",,20:00,"• Nút giao Hà Lĩnh, Hà Trung, Thanh Hóa",2h30m,300.0,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.9,4.7,4.8,4.8,4.8,4.7,4.8
Thăng Long,4.6 (438),Giường nằm 40 chỗ,22:10,• Ngã tư Cổ Nhuế - Phạm Văn Đồng,(16/10),02:55,• Big C Thanh Hóa,4h45m,200.0,,,"T4, 15/10/2025",Hà Nội,Thanh Hóa,4.8,4.7,4.8,4.7,4.4,4.5,4.8
